,qty,sku,link,,,
10u,2,A-960,https://www.taydaelectronics.com/10uf-50v-105c-jrb-radial-electrolytic-capacitor-5x11mm.html,,,
100u,2,A-972,https://www.taydaelectronics.com/100uf-16v-105c-jrb-radial-electrolytic-capacitor-5x11mm.html,,,
47u,2,A-6062,https://www.taydaelectronics.com/47uf-25v-105c-jrb-radial-electrolytic-capacitor-5x11mm.html,,,
100n,2,A-564,https://www.taydaelectronics.com/0-1uf-100v-5-polyester-film-box-type-capacitor.html,,,
1n,1,A-557,https://www.taydaelectronics.com/1nf-0-001uf-100v-5-polyester-film-box-type-capacitor.html,,,
2n2,1,A-4413,https://www.taydaelectronics.com/2-2nf-0-0022uf-100v-5-polyester-film-box-type-capacitor-jfj.html,,,
1u MLCC,6,A-5706,https://www.taydaelectronics.com/1-uf-50v-multilayer-monolithic-ceramic-capacitor-x7r-jym-5705.html,,,
220p,1,A-6065,https://www.taydaelectronics.com/220-uf-50v-multilayer-monolithic-ceramic-capacitor-x7r-jym.html,,,
470p,1,A-5704,https://www.taydaelectronics.com/470pf-50v-multilayer-monolithic-ceramic-capacitor-x7r-jym.html,,,
15p,1,A-1393,https://www.taydaelectronics.com/15pf-50v-multilayer-monolithic-ceramic-capacitor.html,,,
1M,2,A-2277,https://www.taydaelectronics.com/resistors/1-4w-metal-film-resistors/10-x-resistor-1m-ohm-1-4w-1-metal-film-pkg-of-10.html,,,
1k,10,A-2203,https://www.taydaelectronics.com/resistors/1-4w-metal-film-resistors/10-x-resistor-10k-ohm-1-4w-1-metal-film-pkg-of-10.html,,,
10k,6,A-2200,https://www.taydaelectronics.com/resistors/1-4w-metal-film-resistors/10-x-resistor-1k-ohm-1-4w-1-metal-film-pkg-of-10.html,,,
100,2,A-2245,https://www.taydaelectronics.com/resistors/1-4w-metal-film-resistors/resistor-100-ohm-1-4w-1-metal-film-pkg-of-10.html,,,
100k,5,A-2248,https://www.taydaelectronics.com/resistors/1-4w-metal-film-resistors/10-x-resistor-100k-ohm-1-4w-1-metal-film-pkg-of-10.html,,,
15k,6,A-2182,https://www.taydaelectronics.com/resistors/1-4w-metal-film-resistors/10-x-resistor-15k-ohm-1-4w-1-metal-film-pkg-of-10.html,,,
220,1,A-2246,https://www.taydaelectronics.com/resistors/1-4w-metal-film-resistors/resistor-220-ohm-1-4w-1-metal-film-pkg-of-10.html,,,
2k,4,A-2307,https://www.taydaelectronics.com/resistors/1-4w-metal-film-resistors/resistor-2k-ohm-1-4w-1-metal-film-pkg-of-10.html,,,
4.7k,3,A-2310,https://www.taydaelectronics.com/resistors/1-4w-metal-film-resistors/10-x-resistor-4-7k-ohm-1-4w-1-metal-film-pkg-of-10.html,,,
B100K,4,A-2963,https://www.taydaelectronics.com/b100k-ohm-linear-taper-potentiometer-round-shaft-pc-mount-l.html,,,
B10k,1,A-2969,https://www.taydaelectronics.com/b10k-ohm-linear-taper-potentiometer-round-shaft-pc-mount-l.html,,,
2N3904,1,A-111,https://www.taydaelectronics.com/2n3904-npn-general-propose-transistor.html,,,
BS170,1,A-096,https://www.taydaelectronics.com/bs170-bs170rlrag-mosfet-n-channel-60v-0-5a.html,,,
1N4148,9,A-157,https://www.taydaelectronics.com/1n4148-switching-signal-diode.html,,,
1N5817,1,A-159,https://www.taydaelectronics.com/1n5817-diode-schottky-1a-20v.html,,,
3PDT On-Off-On,1,A-5488,https://www.taydaelectronics.com/mini-toggle-switch-1m-series-3pdt-on-off-on.html,,,
TL074,1,A-1138,https://www.taydaelectronics.com/tl074-quad-operational-amplifier-j-fet-pdip-14-tl074cn.html,,,
L78L33,1,A-492,https://www.taydaelectronics.com/l78l33acz-78l33-3-3v-voltage-regulator-ic.html,,,
L7805,1,A-179,https://www.taydaelectronics.com/lm7805-l7805-7805-voltage-regulator-ic-5v-1-5a.html,,,
phone jack,2,A-1121,https://www.taydaelectronics.com/hardware/6-35mm-1-4-plugs-jacks/6-35mm-1-4-stereo-phone-jack.html,"Substitutions okay if you’re sourcing your own enclosure, but adjust your drill template accordingly.",,
DC power jack,1,A-2237,https://www.taydaelectronics.com/hardware/dc-power/dc-power-jack-2-1mm-enclosed-frame-with-switch.html,"WHITE and RED also available. Substitutions okay if you’re sourcing your own enclosure, but adjust your drill template accordingly.",,
3PDT Foot Switch,1,A-331,https://www.taydaelectronics.com/electromechanical/switches-key-pad/stomp-switch/3pdt-stomp-foot-pedal-switch.html,Substitutions okay,,
